"","municipio","codigo","latitude","longitude","regiao","bolsa_escola_numeros_de_estabelecimentos_credenciados","bolsa_escola_n_total_de_beneficiarios_entre_2016_e_2017","bolsa_escola_valor_iinvestido","alunos_da_rede_estadual_de_ensino","centros_de_educacao_integral_educa_mais_quantidade","centros_de_educacao_integral_educa_mais_alunos_matriculados","sim_eu_posso_alfabetizadores","sim_eu_posso_alunos_beneficiados","programa_brasil_alfabetizado_pba_alfabetizadores","programa_brasil_alfabetizado_pba_alunos","uniformes_escolares_alunos_beneficiados","uniformes_escolares_uniformes_distribuidos","onibus_escolares_quantidades","peate_valor_repassado","peateind_valor_repassado","farois_do_saber_quantidade","farois_do_saber_valor_investido","arca_das_letras_unidades","preuni_auloes_do_enem_alunos_beneficiados","universidade_estaudal_do_maranhao_quantidade_de_campi","universidade_estaudal_do_maranhao_alunos_beneficiados","universidade_estaudal_do_maranhao_novas_vagas","universidade_estaudal_do_maranhao_novos_professores","uemanet_graduacao_educacao_a_distância_alunos_graduados","uemanet_especializacao_educacao_a_distância_alunos_formados","uemanet_cursos_técnicos_educacao_a_distância_alunos_formados","uema_programas_darcy_ribeiro_e_ensinar_formacao_de_professores","universidade_estadual_da_regiao_tocantina_uemasul_quantidade","universidade_estadual_da_regiao_tocantina_uemasul_alunos_beneficiados","universidade_estadual_da_regiao_tocantina_uemasul_bolsas_distribuidas","universidade_estadual_da_regiao_tocantina_uemasul_cursos_ofertados","universidade_estadual_da_regiao_tocantina_uemasul_professores","universidade_estadual_da_regiao_tocantina_uemasul_investimento","fapema_qtde_de_bolsas_distribuidas","instituto_estadual_de_educacao_ciencia_e_tecnologia_do_maranhao_iema_unidade_plena_quantidade","instituto_estadual_de_educacao_ciencia_e_tecnologia_do_maranhao_iema_unidade_plena_alunos_beneficiados","instituto_estadual_de_educacao_ciencia_e_tecnologia_do_maranhao_iema_unidade_vocacional_alunos_beneficiados","cidadao_do_mundo_alunos_beneficiados"
"26","Barra do Corda",2101608,"-5.49682","-45.2485","CENTRO",21,15255,1466073,7126,1,823,0,0,0,0,7126,14252,0,0,0,0,0,0,701,1,833,30,0,29,0,0,0,0,0,0,0,0,0,36,0,0,137,1
"27","Barreirinhas",2101707,"-2.75863","-42.8232","NORTE",10,14977,1412151,2971,0,0,0,0,26,213,2971,5942,0,227800,0,1,241100.64,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,261,2
"28","Bela Vista do Maranhão",2101772,"-3.72618","-45.3075","NORTE",5,2406,266757,563,0,0,0,0,48,371,563,1126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Belágua",2101731,"-3.15485","-43.5122","LESTE",7,2733,228184,487,0,0,51,705,119,710,487,974,1,0,0,1,227996.66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0
"30","Benedito Leite",2101806,"-7.21037","-44.5577","SUL",2,978,93716,147,0,0,0,0,46,332,147,294,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Bequimão",2101905,"-2.44162","-44.7842","NORTE",5,3291,317663,1137,0,0,0,0,20,157,1137,2274,0,145200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0
"32","Bernardo do Mearim",2101939,"-4.62666","-44.7608","CENTRO",2,1064,103024,253,0,0,0,0,21,250,253,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Boa Vista do Gurupi",2101970,"-1.77614","-46.3002","OESTE",5,2039,194609,546,0,0,0,0,0,0,546,1092,0,39800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Bom Jardim",2102002,"-3.54129","-45.606","OESTE",10,8249,795369,1953,0,0,0,0,0,0,1953,3906,1,34200,36800,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Bom Jesus das Selvas",2102036,"-4.47638","-46.8641","OESTE",11,7080,672546,1290,0,0,0,0,3,43,1290,2580,1,12000,0,0,0,0,48,0,0,0,0,34,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"36","Bom Lugar",2102077,"-4.37311","-45.0326","CENTRO",4,2293,226469,397,0,0,0,0,12,105,397,794,0,36600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Brejo",2102101,"-3.67796","-42.7527","LESTE",15,7708,739396,1416,0,0,0,0,0,0,1416,2832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,1,160,0,1
"38","Brejo de Areia",2102150,"-4.334","-45.581","OESTE",2,1476,148416,363,0,0,0,0,45,385,363,726,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
"39","Buriti",2102200,"-3.94169","-42.9179","LESTE",9,7372,718902,1103,0,0,0,0,0,0,1103,2206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Buriti Bravo",2102309,"-5.83239","-43.8353","LESTE",16,4887,466817,1346,0,0,0,0,0,0,1346,2692,0,19667.91,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Buriticupu",2102325,"-4.32375","-46.4409","OESTE",26,12427,1181591,3348,0,0,0,0,0,0,3348,6696,0,0,15200,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"42","Buritirana",2102358,"-5.59823","-47.0131","OESTE",2,3005,285413,556,0,0,0,0,0,0,556,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Cachoeira Grande",2102374,"-2.93074","-44.0528","NORTE",4,2376,232266,612,0,0,0,0,43,333,612,1224,0,35200,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Cajapió",2102408,"-2.87326","-44.6741","NORTE",5,2216,217758,649,0,0,0,0,0,0,649,1298,1,45800,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0
"45","Cajari",2102507,"-3.32742","-45.0145","NORTE",6,4305,411835,670,0,0,0,0,110,667,670,1340,2,0,0,0,0,5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0
"46","Campestre do Maranhão",2102556,"-6.17075","-47.3625","SUL",5,2009,193999,706,0,0,0,0,0,0,706,1412,0,23400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","Cândido Mendes",2102606,"-1.43265","-45.7161","OESTE",8,4222,410500,842,0,0,0,0,0,0,842,1684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Cantanhede",2102705,"-3.63757","-44.383","NORTE",6,4041,403477,847,0,0,0,0,0,0,847,1694,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Capinzal do Norte",2102754,"-4.7236","-44.328","LESTE",3,2063,200755,548,0,0,0,0,11,90,548,1096,1,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Carolina",2102804,"-7.33584","-47.4634","SUL",4,4144,402980,1179,1,510,0,0,14,127,1179,2358,0,28600,0,0,0,0,22,0,0,0,0,20,50,43,0,0,0,0,0,0,0,0,0,0,287,1
"51","Carutapera",2102903,"-1.19696","-46.0085","OESTE",15,5208,502048,1461,0,0,0,0,0,0,1461,2922,1,68400,0,0,0,0,1077,0,0,0,0,0,0,62,182,0,0,0,0,0,0,0,0,0,252,0
"52","Caxias",2103000,"-4.86505","-43.3617","LESTE",26,26224,2515622,10589,1,666,0,0,0,0,10589,21178,0,232000,0,0,0,0,406,1,8790,80,11,53,22,0,0,0,0,0,0,0,0,254,0,0,275,7
"53","Cedral",2103109,"-2.00027","-44.5281","NORTE",4,1886,182574,462,0,0,0,0,15,150,462,924,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","Central do Maranhão",2103125,"-2.19831","-44.8254","NORTE",2,1841,176783,568,0,0,0,0,26,312,568,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","Centro do Guilherme",2103158,"-2.44891","-46.0345","OESTE",6,2550,247258,620,0,0,0,0,0,0,620,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","Centro Novo do Maranhão",2103174,"-2.12696","-46.1228","OESTE",7,3728,362996,1334,0,0,0,0,121,1234,1334,2668,1,0,50000,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,1
"57","Chapadinha",2103208,"-3.73875","-43.3538","LESTE",26,16700,1575694,3175,1,1142,0,0,0,0,3175,6350,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,61,0
"58","Cidelândia",2103257,"-5.17465","-47.7781","OESTE",5,2648,257500,565,0,0,0,0,0,0,565,1130,0,43200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","Codó",2103307,"-4.45562","-43.8924","LESTE",20,24257,2360151,4721,0,0,0,0,0,0,4721,9443,0,142800,0,0,0,0,756,1,634,80,0,13,27,34,100,0,0,0,0,0,0,87,0,0,360,2
"60","Coelho Neto",2103406,"-4.25245","-43.0108","LESTE",13,8266,789842,2334,0,0,0,0,0,0,2334,4668,0,81400,0,0,0,0,0,1,237,60,0,55,58,0,105,0,0,0,0,0,0,6,0,0,0,0
"61","Colinas",2103505,"-6.03199","-44.2543","LESTE",14,7299,701011,1818,0,0,0,0,0,0,1818,3636,1,0,0,0,0,0,297,1,896,60,0,28,29,50,151,0,0,0,0,0,0,3,0,0,0,2
"62","Conceição do Lago-Açu",2103554,"-3.85142","-44.8895","NORTE",5,4171,400539,626,0,0,0,0,61,680,626,1252,1,43000,0,0,0,5,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0
"63","Coroatá",2103604,"-4.13442","-44.1244","LESTE",18,12438,1210304,4598,1,501,0,0,0,0,4598,9195,0,139600,0,0,0,0,312,1,287,60,0,0,0,48,0,0,0,0,0,0,0,0,1,280,466,0
"64","Cururupu",2103703,"-1.81475","-44.8644","NORTE",8,5738,561048,1536,0,0,0,0,0,0,1536,3072,1,38800,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,160,0,0
"65","Davinópolis",2103752,"-5.54637","-47.4217","OESTE",2,2670,261428,593,0,0,0,0,0,0,593,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","Dom Pedro",2103802,"-5.03518","-44.4409","CENTRO",6,3804,370322,1030,0,0,0,0,30,270,1030,2060,0,0,0,0,0,0,0,0,0,0,0,8,30,0,61,0,0,0,0,0,0,0,0,0,66,1
"67","Duque Bacelar",2103901,"-4.15002","-42.9477","LESTE",5,2782,266956,611,0,0,0,0,0,0,611,1222,0,23332.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","Esperantinópolis",2104008,"-4.87938","-44.6926","CENTRO",8,3716,359118,925,0,0,0,0,0,0,925,1851,1,27800,0,0,0,0,73,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,1
"69","Estreito",2104057,"-6.56077","-47.4431","SUL",8,4334,427022,1590,0,0,0,0,0,0,1590,3180,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"70","Feira Nova do Maranhão",2104073,"-6.96508","-46.6786","SUL",6,1720,170336,372,0,0,0,0,0,0,372,744,0,37200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","Fernando Falcão",2104081,"-6.16207","-44.8979","CENTRO",3,2539,235611,1446,0,0,0,0,46,380,1446,2892,1,43200,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0
"72","Formosa da Serra Negra",2104099,"-6.44017","-46.1916","CENTRO",6,3047,296019,911,0,0,0,0,0,0,911,1822,0,74000,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","Fortaleza dos Nogueiras",2104107,"-6.95983","-46.1749","SUL",5,2486,239762,636,0,0,0,0,17,106,636,1272,0,33600,0,0,0,0,124,0,0,0,0,34,44,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","Fortuna",2104206,"-5.72792","-44.1565","CENTRO",5,3471,329465,850,0,0,0,0,0,0,850,1700,1,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","Godofredo Viana",2104305,"-1.40259","-45.7795","OESTE",4,1745,170875,418,0,0,0,0,0,0,418,836,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,1
"76","Gonçalves Dias",2104404,"-5.1475","-44.3013","CENTRO",6,3534,338796,705,0,0,0,0,25,260,705,1410,0,50456.75,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","Governador Archer",2104503,"-5.02078","-44.2754","CENTRO",2,2218,217584,434,0,0,0,0,0,0,434,868,0,28600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","Governador Edison Lobão",2104552,"-5.74973","-47.3646","OESTE",3,3178,301918,700,0,0,0,0,0,0,700,1400,0,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,0
"79","Governador Eugênio Barros",2104602,"-5.31897","-44.2469","CENTRO",9,3187,316131,624,0,0,0,0,0,0,624,1248,1,56600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","Governador Luiz Rocha",2104628,"-5.47835","-44.0774","CENTRO",3,1370,136110,384,0,0,0,0,0,0,384,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","Governador Newton Bello",2104651,"-3.43245","-45.6619","OESTE",2,2415,233795,328,0,0,54,758,0,0,328,656,1,7800,0,0,0,5,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0
"82","Governador Nunes Freire",2104677,"-2.12899","-45.8777","OESTE",6,6041,567577,1226,0,0,0,0,50,503,1226,2452,0,0,0,0,0,0,219,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0
"83","Graça Aranha",2104701,"-5.40547","-44.3358","CENTRO",3,1002,99954,302,0,0,0,0,0,0,302,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","Grajaú",2104800,"-5.81367","-46.1462","CENTRO",20,14023,1313311,7415,1,451,0,0,15,169,7415,14830,0,0,0,0,0,0,187,1,568,0,1,7,41,0,0,0,0,0,0,0,0,10,0,0,0,0
"85","Guimarães",2104909,"-2.12755","-44.602","NORTE",5,2185,212175,622,0,0,0,0,28,207,622,1244,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","Humberto de Campos",2105005,"-2.59828","-43.4649","NORTE",7,7267,698137,1567,0,0,0,0,0,0,1567,3134,0,73000,0,0,0,0,140,0,0,0,0,12,24,0,0,0,0,0,0,0,0,2,0,0,132,0
"87","Icatu",2105104,"-2.77206","-44.0501","NORTE",6,6325,603727,1714,0,0,0,0,0,0,1714,3428,0,209800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","Igarapé do Meio",2105153,"-3.65771","-45.2114","NORTE",8,3368,316116,593,0,0,0,0,45,412,593,1186,1,29800,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"89","Igarapé Grande",2105203,"-4.6625","-44.8558","CENTRO",7,1807,316116,489,0,0,0,0,12,92,489,978,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","Imperatriz",2105302,"-5.51847","-47.4777","OESTE",40,23802,2335842,12007,1,325,0,0,0,0,12007,24014,0,0,0,0,0,0,5450,0,0,0,0,23,91,92,0,1,2126,215,14,223,31757382.25,278,0,0,422,22
"91","Itaipava do Grajaú",2105351,"-5.14252","-45.7877","CENTRO",4,3063,294627,1151,0,0,131,1700,0,0,1151,2302,1,58600,10400,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0
"92","Itapecuru Mirim",2105401,"-3.40202","-44.3508","NORTE",7,11398,1100776,4362,1,1153,0,0,47,398,4362,8724,0,0,0,0,0,0,56,1,1385,0,0,0,0,0,185,0,0,0,0,0,0,9,0,0,0,3
"93","Itinga do Maranhão",2105427,"-4.45293","-47.5235","OESTE",5,4638,454026,1029,0,0,0,0,0,0,1029,2058,0,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0
"94","Jatobá",2105450,"-5.82282","-44.2153","LESTE",1,2010,196948,349,0,0,0,0,94,789,349,698,0,24800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","Jenipapo dos Vieiras",2105476,"-5.36237","-45.6356","CENTRO",3,3477,328621,4946,0,0,176,2714,0,0,4946,9893,1,48400,536800,0,0,5,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0
"96","João Lisboa",2105500,"-5.44363","-47.4064","OESTE",7,5090,476526,1225,0,0,0,0,0,0,1225,2450,0,21800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"97","Joselândia",2105609,"-4.98611","-44.6958","CENTRO",5,2888,275674,656,0,0,0,0,0,0,656,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","Junco do Maranhão",2105658,"-1.83888","-46.09","OESTE",4,1285,122851,438,0,0,0,0,0,0,438,876,1,39800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","Lago da Pedra",2105708,"-4.56974","-45.1319","OESTE",22,8981,865223,2186,0,0,0,0,0,0,2186,4372,0,108400,0,0,0,0,291,1,956,40,0,21,0,76,95,0,0,0,0,0,0,0,0,0,0,0
"100","Lago do Junco",2105807,"-4.609","-45.049","CENTRO",5,2427,240939,547,0,0,0,0,0,0,547,1094,1,27238.32,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"101","Lago dos Rodrigues",2105948,"-4.61173","-44.9798","CENTRO",6,3846,165531,548,0,0,0,0,6,49,548,1096,0,38400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","Lago Verde",2105906,"-3.94661","-44.826","CENTRO",3,2138,374856,830,0,0,0,0,17,150,830,1660,0,0,0,1,285230.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","Lagoa do Mato",2105922,"-6.05023","-43.5333","LESTE",7,1679,208858,465,0,0,0,0,20,235,465,930,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","Lagoa Grande do Maranhão",2105963,"-4.98893","-45.3816","OESTE",6,2675,257359,541,0,0,60,899,12,71,541,1082,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0
"105","Lajeado Novo",2105989,"-6.18539","-47.0293","OESTE",4,1496,145572,459,0,0,0,0,0,0,459,919,0,48800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","Lima Campos",2106003,"-4.51837","-44.4646","CENTRO",6,2210,219108,589,0,0,0,0,8,88,589,1178,0,52400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","Loreto",2106102,"-7.08111","-45.1451","SUL",12,2222,214752,693,0,0,0,0,0,0,693,1386,0,9127.27,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,146,0
"108","Luis Domingues",2106201,"-1.27492","-45.867","OESTE",4,1349,132601,325,0,0,0,0,0,0,325,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","Magalhães de Almeida",2106300,"-3.39232","-42.2117","LESTE",7,2879,281379,871,0,0,0,0,0,0,871,1742,0,38800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"110","Maracaçumé",2106326,"-2.04918","-45.9587","OESTE",7,4568,450272,1056,0,0,0,0,40,414,1056,2112,0,7800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","Marajá do Sena",2106359,"-4.62806","-45.4531","OESTE",2,2031,198157,199,0,0,62,875,0,0,199,398,1,3400,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0
"112","Maranhãozinho",2106375,"-2.24078","-45.8507","OESTE",4,2378,230206,512,0,0,0,0,0,0,512,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","Mata Roma",2106409,"-3.62035","-43.1112","LESTE",4,4231,399229,941,0,0,0,0,0,0,941,1882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","Matinha",2106508,"-3.09849","-45.035","NORTE",10,4901,470475,1142,0,0,0,0,0,0,1142,2284,0,87400,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"115","Matões",2106607,"-5.51359","-43.2018","LESTE",5,7091,692519,1458,0,0,0,0,0,0,1458,2916,0,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,160,252,0
"116","Matões do Norte",2106631,"-3.6244","-44.5468","NORTE",2,2101,204993,445,0,0,0,0,0,0,445,890,0,40800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","Milagres do Maranhão",2106672,"-3.57443","-42.6131","LESTE",6,1871,183327,188,0,0,51,733,13,158,188,376,1,9800,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0
"118","Mirador",2106706,"-6.37454","-44.3683","LESTE",6,4442,427562,961,0,0,0,0,0,0,961,1922,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","Miranda do Norte",2106755,"-3.56313","-44.5814","NORTE",9,3841,377407,941,0,0,0,0,22,151,941,1882,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"120","Mirinzal",2106805,"-2.07094","-44.7787","NORTE",5,2922,286746,829,0,0,0,0,56,419,829,1658,1,50800,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","Monção",2106904,"-3.48125","-45.2496","NORTE",8,8034,763428,1164,0,0,0,0,0,0,1164,2328,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"122","Montes Altos",2107001,"-5.83067","-47.0673","OESTE",2,2185,206977,754,0,0,0,0,0,0,754,1507,0,18600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"123","Morros",2107100,"-2.85379","-44.0357","NORTE",7,4239,407457,913,0,0,0,0,13,63,913,1826,1,68000,0,0,0,0,215,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0
"124","Nina Rodrigues",2107209,"-3.46788","-43.9134","NORTE",3,2821,268117,633,0,0,0,0,15,131,633,1266,0,42600,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","Nova Colinas",2107258,"-7.12263","-46.2607","SUL",5,864,81600,295,0,0,0,0,0,0,295,590,0,29600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","Nova Iorque",2107308,"-6.73047","-44.0471","LESTE",3,786,75230,97,0,0,0,0,30,151,97,194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"127","Nova Olinda do Maranhão",2107357,"-2.84227","-45.6953","OESTE",7,3737,366583,854,0,0,0,0,0,0,854,1708,0,36400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128","Olho d`Água das Cunhãs",2107407,"-4.13417","-45.1163","CENTRO",4,3877,381589,828,0,0,0,0,52,495,828,1656,0,21418.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","Olinda Nova do Maranhão",2107456,"-2.99295","-44.9897","NORTE",12,2812,272672,759,0,0,0,0,77,539,759,1518,1,80200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130","Paço do Lumiar",2107506,"-2.51657","-44.1019","NORTE",12,14317,1368555,4526,1,1053,0,0,0,0,4526,9052,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7
"131","Palmeirândia",2107605,"-2.64433","-44.8933","NORTE",6,4203,411877,678,0,0,0,0,0,0,678,1356,0,74600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"132","Paraibano",2107704,"-6.4264","-43.9792","LESTE",9,3900,388052,742,0,0,0,0,13,159,742,1484,0,0,0,0,0,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133","Parnarama",2107803,"-5.67365","-43.1011","LESTE",11,6678,653700,1395,0,0,0,0,0,0,1395,2790,0,77400,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","Passagem Franca",2107902,"-6.17745","-43.7755","LESTE",9,4033,396399,695,1,602,0,0,0,0,695,1390,1,27600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135","Pastos Bons",2108009,"-6.60296","-44.0745","LESTE",13,3524,340816,744,0,0,0,0,0,0,744,1488,0,15000,0,0,0,0,118,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,1
"136","Paulino Neves",2108058,"-2.72094","-42.5258","NORTE",9,4710,452454,1384,0,0,0,0,0,0,1384,2768,0,128400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","Paulo Ramos",2108108,"-4.44485","-45.2398","OESTE",10,4656,449700,698,0,0,0,0,39,389,698,1396,0,32800,0,1,217457.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138","Pedreiras",2108207,"-4.56482","-44.6006","CENTRO",15,5745,553999,1694,1,499,0,0,24,246,1694,3388,0,0,0,0,0,0,735,1,529,60,0,12,0,0,95,0,0,0,0,0,0,3,0,0,488,2
"139","Pedro do Rosário",2108256,"-2.97272","-45.3493","NORTE",7,5989,567593,1096,0,0,0,0,30,248,1096,2192,1,83800,0,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0
